SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,December-14-2020,Single Family Residential,175 Willow Ave,Cornwall,NY,12518,460000,4,2.5,Cornwall,2100,13068,1898,161,219,NA,Sold,NA,NA,http://www.redfin.com/NY/Cornwall/175-Willow-Ave-12518/home/54910306,OneKey,H6070503,N,Y,41.4425512,-74.0437594
PAST SALE,NA,Single Family Residential,4 Johnluke Ln,Cornwall,NY,12518,337000,3,2,NA,1742,33541,1951,NA,193,NA,NA,NA,NA,http://www.redfin.com/NY/Cornwall/4-Johnluke-Ln-12518/home/92374885,NA,NA,N,Y,41.439254,-74.043584
PAST SALE,September-17-2020,Single Family Residential,20 Knoll Crest Ct,Cornwall,NY,12518,466300,3,2.5,Stone Hollow,2038,20430,2019,249,229,50,Sold,NA,NA,http://www.redfin.com/NY/CORNWALL/20-KNOLL-CREST-CT-12518/home/72608921,OneKey,H4849947,N,Y,41.445647,-74.038685
PAST SALE,November-9-2020,Single Family Residential,33 Algernon St,Cornwall,NY,12518,293000,3,1.5,Cornwall,1753,7405,1911,196,167,NA,Sold,NA,NA,http://www.redfin.com/NY/Cornwall/33-Algernon-St-12518/home/54914508,OneKey,H6046285,N,Y,41.4409485,-74.0453658
PAST SALE,June-20-2020,Single Family Residential,41 Algernon St,Cornwall,NY,12518,252000,3,1,Cornwall,1428,10019,1931,338,176,NA,Sold,NA,NA,http://www.redfin.com/NY/Cornwall/41-Algernon-St-12518/home/54896180,OneKey,H6007985,N,Y,41.4404154,-74.0456412
PAST SALE,August-10-2020,Single Family Residential,11 Browns Ln,Cornwall,NY,12518,295000,4,2,Cornwall,2176,23958,1880,287,136,NA,Sold,NA,NA,http://www.redfin.com/NY/Cornwall/11-Browns-Ln-12518/home/54941663,OneKey,H6039077,N,Y,41.4421772,-74.0403169
PAST SALE,September-14-2020,Single Family Residential,54 Maple St,Cornwall,NY,12518,385000,3,2,Cornwall,1881,19166,1950,252,205,NA,Sold,NA,NA,http://www.redfin.com/NY/Cornwall/54-Maple-St-12518/home/54909067,OneKey,H6046420,N,Y,41.4377634,-74.0419349
PAST SALE,January-26-2021,Single Family Residential,109 Willow Ave,Cornwall,NY,12518,385000,4,2,Cornwall,1778,8276,1910,118,217,NA,Sold,NA,NA,http://www.redfin.com/NY/Cornwall/109-Willow-Ave-12518/home/92374972,OneKey,H6067894,N,Y,41.4403699,-74.0396744
PAST SALE,NA,Single Family Residential,2 Chestnut St,Cornwall,NY,12518,384750,3,2.5,NA,1948,4792,2012,NA,198,NA,NA,NA,NA,http://www.redfin.com/NY/Cornwall/2-Chestnut-St-12518/home/54930409,NA,NA,N,Y,41.437393,-74.0372417
PAST SALE,July-3-2020,Single Family Residential,16 Tamara Ln,Cornwall,NY,12518,475000,3,2,Cornwall,2378,29185,1951,325,200,NA,Sold,NA,NA,http://www.redfin.com/NY/Cornwall/16-Tamara-Ln-12518/home/72579789,OneKey,H6031481,N,Y,41.4364953,-74.0276942
PAST SALE,January-7-2021,Single Family Residential,10 Angola Rd,Cornwall,NY,12518,344900,3,2,Cornwall,1530,14810,1985,137,225,NA,Sold,NA,NA,http://www.redfin.com/NY/Cornwall/10-Angola-Rd-12518/home/54914926,OneKey,H6075507,N,Y,41.4329304,-74.0372417
PAST SALE,January-13-2021,Single Family Residential,21 Robert Rd,Cornwall,NY,12518,423000,3,2.5,Cornwall,2000,9583,1960,131,212,NA,Sold,NA,NA,http://www.redfin.com/NY/Cornwall/21-Robert-Rd-12518/home/54894729,OneKey,H6065091,N,Y,41.4316211,-74.0317795
PAST SALE,November-30-2020,Single Family Residential,141 Harold Ave,Cornwall,NY,12518,550000,4,2.5,Cornwall,2352,17424,1996,175,234,NA,Sold,NA,NA,http://www.redfin.com/NY/Cornwall/141-Harold-Ave-12518/home/54941434,OneKey,H6062321,N,Y,41.437711,-74.050635
