SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,May-27-2020,Single Family Residential,62 Mountain Rd,Cornwall-On-Hudson,NY,12520,345000,4,3,Cornwall On Hudson,2848,95832,1980,362,121,NA,Sold,NA,NA,http://www.redfin.com/NY/Cornwall-On-Hudson/62-Mountain-Rd-12520/home/54918675,OneKey,H6006476,N,Y,41.4382993,-74.0097914
PAST SALE,NA,Single Family Residential,47 Deer Hill Rd,Cornwall-On-Hudson,NY,12520,220000,3,2,NA,1248,87120,1885,NA,176,NA,NA,NA,NA,http://www.redfin.com/NY/Cornwall-On-Hudson/47-Deer-Hill-Rd-12520/home/72589916,NA,NA,N,Y,41.4235155,-74.013923
PAST SALE,NA,Single Family Residential,294 Hudson St,Cornwall-On-Hudson,NY,12520,200000,3,1,NA,1260,4953,1922,NA,159,NA,NA,NA,NA,http://www.redfin.com/NY/Cornwall-On-Hudson/294-Hudson-St-12520/home/72589889,NA,NA,N,Y,41.4447524,-74.0189725
PAST SALE,July-20-2020,Single Family Residential,18 Idlewild Park Dr,Cornwall-On-Hudson,NY,12520,590000,4,3,Cornwall On Hudson,2421,33106,1962,308,244,NA,Sold,NA,NA,http://www.redfin.com/NY/Cornwall-On-Hudson/18-Idlewild-Park-Dr-12520/home/54923965,OneKey,H6000508,N,Y,41.4503155,-74.0213595
PAST SALE,September-3-2020,Single Family Residential,23 Andrews St,Cornwall-On-Hudson,NY,12520,681023,3,3.5,Cornwall On Hudson,2917,13068,1930,263,233,NA,Sold,NA,NA,http://www.redfin.com/NY/Cornwall-On-Hudson/23-Andrews-St-12520/home/92374347,OneKey,H6043162,N,Y,41.4494105,-74.0182504
PAST SALE,NA,Single Family Residential,51 Spruce St,Cornwall-On-Hudson,NY,12520,450000,4,2.5,NA,1836,15246,1966,NA,245,NA,NA,NA,NA,http://www.redfin.com/NY/Cornwall-On-Hudson/51-Spruce-St-12520/home/92374326,NA,NA,N,Y,41.4477713,-74.0190184
PAST SALE,January-13-2021,Single Family Residential,30 Church St,Cornwall-On-Hudson,NY,12520,430000,4,2,Cornwall On Hudson,2484,19184,1900,131,173,NA,Sold,NA,NA,http://www.redfin.com/NY/Cornwall-On-Hudson/30-Church-St-12520/home/54941323,OneKey,H6074655,N,Y,41.4456882,-74.0118241
PAST SALE,NA,Single Family Residential,27 Wood Ave,Cornwall-On-Hudson,NY,12520,225000,2,1,NA,1627,16988,1937,NA,138,NA,NA,NA,NA,http://www.redfin.com/NY/Cornwall-On-Hudson/27-Wood-Ave-12520/home/92374460,NA,NA,N,Y,41.4456505,-74.0102174
PAST SALE,August-13-2020,Single Family Residential,107 Clover Ct,Cornwall-On-Hudson,NY,12520,551500,4,2.5,Clover Court,2538,10890,2019,284,217,NA,Sold,NA,NA,http://www.redfin.com/NY/Cornwall-On-Hudson/Clover-Ct-12520/home/171347846,OneKey,H6045572,N,Y,41.4452,-74.0087
PAST SALE,October-8-2020,Single Family Residential,50 Academy Ave,Cornwall-On-Hudson,NY,12520,235000,4,2,Cornwall On Hudson,2016,8276,1955,228,117,NA,Sold,NA,NA,http://www.redfin.com/NY/Cornwall-On-Hudson/50-Academy-Ave-12520/home/54937019,OneKey,H4955643,N,Y,41.4455425,-74.0248023
